train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
5.6143,0.0058,0.0018,0.0041,0.002,5.5697,0.006,0.0018,0.0043,0.0021
5.6146,0.0066,0.0028,0.0048,0.003,5.5697,0.006,0.0018,0.0043,0.0021
